description,priority,parity
The payment settlement DAG in Airflow skipped several scheduled runs after timezone configuration drift between scheduler nodes.,medium,
Need support rotating MongoDB credentials stored in Vault for the analytics ingestion workers before password expiration.,medium,
The Jenkins shared library update broke CI pipelines across multiple repositories with 'No such DSL method' errors.,high,
The Redis cluster used for rate limiting is reporting memory fragmentation above 90%. Latency spikes are visible across payment APIs.,medium,
I cannot complete local onboarding because internal npm registry requests fail certificate verification after corporate CA rotation.,low,
The fraud-detection API intermittently returns HTTP 502 responses because upstream Kafka consumers are falling behind under heavy load.,high,
The Kubernetes deployment for the compliance-api failed because init containers could not pull secrets from Vault. Error: 'permission denied'.,high,
"The external webhook provider delivering transaction notifications is timing out after exactly 10 seconds, causing retries to accumulate.",medium,
Grafana dashboard imports fail with 'datasource not found' after migration to the centralized observability account.,low,
Need read-only database access to the ledger replica cluster for investigation of reconciliation mismatches tied to deployment v5.1.8.,low,
The PostgreSQL standby node failed promotion during DR testing because replication slots were not synchronized correctly. High risk to availability.,high,
Terraform plans for EKS upgrades show unexpected IAM role deletions after refactoring modules in PR #6028.,medium,
The payment gateway service logs repeated 'SSLHandshakeException: Received fatal alert handshake_failure' after certificate renewal.,high,
The ELK stack stopped receiving logs from Kubernetes ingress controllers after Filebeat daemonsets restarted unexpectedly.,medium,
My local Go SDK installation for the reconciliation-service conflicts with the protobuf compiler version required by the latest branch.,low,
"The Kafka retention policy for settlement-events was reduced accidentally, causing older reconciliation messages to expire before processing.",high,
The FastAPI transaction service consumes excessive CPU after deployment v3.7.4 enabled request body auditing. Autoscaling cannot keep up with demand.,high,
Need assistance updating network ACLs so Airflow workers can access the external fraud-scoring provider over HTTPS.,medium,
The MongoDB aggregation pipeline used for reporting exceeds memory limits after introduction of new compliance dimensions.,medium,
GitHub Actions deployments for the fraud-dashboard fail because environment promotion secrets are missing from production repositories.,medium,
The Redis failover process during maintenance caused stale cache entries to persist for account balances. Several internal reconciliation checks failed.,high,
Datadog log ingestion for the settlement namespace dropped sharply after node replacements in the EKS cluster.,medium,
I need elevated permissions to restart stuck Spark executors in the compliance namespace during overnight processing windows.,low,
The payment-processing service entered CrashLoopBackOff after deployment version v10.2.1. Logs contain 'panic: runtime error: invalid memory address'.,high,
The Jenkins deployment pipeline cannot complete because Kubernetes admission webhooks time out during ingress creation.,medium,
The internal Twilio integration used for MFA delivery reports intermittent 403 errors after API key rotation.,medium,
The Airflow metadata database is nearing storage exhaustion because task history cleanup jobs stopped running last week.,high,
Local Docker compose environments fail to start because the internal PostgreSQL image no longer supports deprecated authentication methods.,low,
The fraud-analytics ETL pipeline generated duplicate rows after replaying Kafka topics during recovery testing. Similar issue occurred in INC-5102.,high,
